PC1,PC2,Method
-0.3360626744544021,-0.5830025063971297,RL
0.09077728584583401,-0.3293931661589172,RL
-0.2973714396734295,0.28628878434538757,RL
-0.47208643998681166,-0.2001278581212528,RL
0.519779732360151,0.07849370198221503,RL
1.4399677205475345,-1.5599216950460655,RL
-1.4236813452459178,-1.3031867491061775,RL
1.1479626467593569,0.028433617037272124,RL
0.4932164312287018,0.37052990974832595,RL
0.24571418848403861,0.5714181771865299,RL
-1.5734471414587647,0.02034890078217855,RL
-1.5651535205344247,-0.47478922197997453,RL
-1.903767604878524,-0.007160256059939042,RL
-1.4451513931415205,1.039085283105188,RL
-1.048234149362628,0.851207224142269,RL
-0.7684585761147772,0.19047775397188657,RL
0.11010566824762648,2.1047024034020034,RL
0.24997976908957575,1.0618111574571558,RL
0.3094121002166541,-0.1692698987754787,RL
-0.06396156518457653,0.20051693589704045,RL
1.2331869182417488,0.6497333431934738,RL
-0.7552866883236521,0.9867885729864201,RL
-1.1711891859577415,-0.5528296713373002,RL
1.0678250713151614,0.3778100874939947,RL
-1.328065538005208,0.346499948645029,RL
-0.7524169563804003,1.074422541576656,RL
0.9911243959293983,0.9991264657961614,RL
0.706543577460058,1.2911248531381758,RL
-0.895119617477645,0.7293350504537064,RL
1.2546721466835904,1.2255335344982494,RL
0.3985794012254027,-1.0038767188478128,RL
-0.9417171078174313,-0.10665139954001092,RL
0.15621675322764353,-0.7498455657441138,RL
1.079815538595251,-0.8237395369304129,RL
-0.5832219812915879,-1.2921603065933038,RL
-0.37120318248387196,-0.24646572629013935,RL
-2.0176078230217094,-0.006091976094802384,RL
0.23187983439109836,-0.6800377290192913,RL
1.1840551497217222,0.6361831303558338,RL
-0.5900144236837515,-0.20225643524905798,RL
0.918562289302429,0.5126177252109121,RL
0.46945750553699506,-0.3473279050221308,RL
0.7960901230100483,0.583019303033918,RL
-0.2722364245382542,0.092876495861121,RL
1.417862078881578,0.5197244090419049,RL
-1.0862823575065117,0.16040930257250063,RL
0.9045670764375461,1.422748966881075,RL
1.2778631550372916,-0.19676651531219455,RL
-0.49531840254486625,0.051463448229233356,RL
0.6771085062682654,1.1999486164303632,RL
0.8825844735244994,1.1589077409353128,RL
-1.6161446620409576,0.12867251701125318,RL
1.0569956032038792,0.28134295464326775,RL
1.88567449944538,-0.7986456644235655,RL
-1.3935022885096686,0.15163628729571438,RL
-0.2943899649909128,0.15438860826316161,RL
-0.683659776305551,-0.4853796046445673,RL
0.9981241768302186,0.7773848419140896,RL
-0.4930870994041404,1.077579566993697,RL
0.41492199826032633,-0.508693112956211,RL
0.39955941982322496,1.3017172845292229,RL
-0.4175277806579436,0.43091031524286405,RL
0.9850259077842785,1.0350147865220487,RL
-0.2877322614307788,0.18086911705154396,RL
-0.12841590487057641,0.646370400458911,RL
1.307025764951907,-0.2770958024508837,RL
0.013733052751130806,0.04447350012847971,RL
-0.14780277650476079,0.12917517713255094,RL
0.16581807398247844,0.20841787327817932,RL
-0.9080890559684913,-0.03926218997758143,RL
0.18499195337142568,0.5020867160389294,RL
0.7522720090832282,1.1392142369911868,RL
-0.3613904335942989,-1.217535196582095,RL
0.35970950421691755,1.5897915591690701,RL
